client_id,Variation,age_group,gender_clean
7045297,Test,45–60,Male
2014716,Test,<30,Female
5762401,Test,45–60,Unknown
6951355,Control,45–60,Male
309480,Test,30–45,Female
3199307,Test,45–60,Female
4295629,Test,60+,Unknown
1505011,Control,30–45,Female
9848611,Control,<30,Male
4080806,Control,<30,Female
2987187,Test,45–60,Unknown
370201,Test,45–60,Female
8336549,Control,30–45,Female
2951480,Test,<30,Male
4089005,Control,60+,Unknown
5308409,Control,45–60,Female
4278502,Test,<30,Female
8189269,Test,<30,Unknown
8297953,Test,45–60,Unknown
1674824,Test,<30,Unknown
7359051,Test,30–45,Female
9486310,Test,45–60,Male
5891447,Control,<30,Unknown
7263864,Test,30–45,Male
2998988,Test,60+,Unknown
6251557,Control,45–60,Female
2585555,Control,60+,Unknown
8307073,Control,30–45,Unknown
8341006,Control,30–45,Male
2707834,Test,<30,Unknown
8585280,Test,30–45,Unknown
91110,Test,60+,Unknown
9944190,Test,30–45,Female
532183,Control,45–60,Unknown
5771032,Control,60+,Unknown
2061626,Control,45–60,Male
9250170,Test,<30,Unknown
5522802,Control,30–45,Unknown
4446759,Test,45–60,Unknown
4333518,Control,30–45,Male
6617119,Test,30–45,Male
2513481,Test,30–45,Female
5395585,Control,30–45,Male
4716805,Control,<30,Unknown
943955,Control,60+,Male
327151,Control,60+,Male
516409,Test,30–45,Unknown
7196406,Test,60+,Female
2918728,Test,30–45,Female
13735,Test,<30,Male
3544760,Control,45–60,Male
7146195,Test,30–45,Female
2343695,Test,<30,Male
4280794,Test,60+,Male
7331194,Control,60+,Female
407061,Test,30–45,Male
5986644,Test,60+,Male
6258296,Test,45–60,Female
3606181,Test,<30,Unknown
4246602,Test,30–45,Male
7447069,Control,45–60,Unknown
9424931,Control,<30,Unknown
69598,Control,45–60,Female
5579672,Test,45–60,Female
3222523,Control,60+,Unknown
9180317,Test,45–60,Female
1914434,Control,60+,Unknown
7412471,Control,<30,Female
4303984,Test,45–60,Male
8836494,Test,60+,Unknown
6059924,Control,60+,Unknown
7521207,Test,60+,Female
9341828,Test,30–45,Female
8650703,Control,45–60,Female
9388615,Test,60+,Female
8682039,Test,30–45,Female
5701502,Control,45–60,Female
848570,Control,30–45,Female
1553394,Test,60+,Unknown
3844895,Test,45–60,Female
2593346,Test,<30,Unknown
1989042,Test,60+,Unknown
1611504,Test,<30,Male
5756352,Test,<30,Female
5713256,Test,30–45,Female
5463895,Control,45–60,Female
178214,Test,45–60,Unknown
9075393,Control,45–60,Male
1827753,Test,45–60,Female
8420487,Control,<30,Unknown
7198598,Control,45–60,Male
1206120,Test,30–45,Unknown
1265496,Test,45–60,Male
7188669,Test,45–60,Unknown
1330615,Test,<30,Male
930596,Test,45–60,Male
3775738,Control,45–60,Unknown
8969191,Test,45–60,Male
8943789,Control,30–45,Male
8535461,Control,60+,Female
406992,Control,45–60,Male
3025280,Control,30–45,Male
9435892,Test,45–60,Male
9489571,Control,<30,Male
4597538,Test,<30,Male
5381735,Test,45–60,Unknown
6478662,Test,45–60,Female
3790249,Control,<30,Unknown
8156691,Control,<30,Unknown
2240256,Test,45–60,Female
2765161,Control,60+,Unknown
7371217,Control,<30,Female
1037427,Test,45–60,Unknown
9957845,Control,60+,Female
8704516,Control,30–45,Unknown
2591463,Control,<30,Male
8798149,Test,45–60,Female
6730712,Test,45–60,Male
5620972,Test,<30,Unknown
3468813,Control,60+,Male
8609253,Test,45–60,Female
5904217,Test,45–60,Unknown
4412954,Test,<30,Unknown
8482024,Test,<30,Unknown
3651623,Test,60+,Unknown
125305,Control,30–45,Male
7449147,Control,<30,Female
267391,Test,45–60,Male
719113,Control,60+,Female
340192,Test,60+,Female
7810991,Test,60+,Female
4308718,Control,60+,Male
2963704,Test,45–60,Female
4631704,Test,45–60,Male
5950896,Test,30–45,Unknown
2511411,Control,45–60,Unknown
3509370,Control,45–60,Male
1026177,Test,30–45,Female
4832926,Control,30–45,Female
2256055,Control,<30,Female
340120,Control,30–45,Female
2600705,Control,60+,Female
1024268,Test,45–60,Female
2725562,Control,<30,Male
3337300,Test,45–60,Female
8868557,Control,60+,Male
9598074,Test,45–60,Unknown
